category,total_websites,total_trackers,overall_average
database,11193.0,14142.0,1.2634682390779952
essay,1820.0,2548.0,1.4
interactivelearning,9919.0,14931.0,1.5052928722653494
languagelearning,11830.0,19078.0,1.6126796280642435
learninginstitute,18460.0,29642.0,1.6057421451787648
onlinecourses,5421.0,8618.0,1.5897435897435896
organization,59943.0,75188.0,1.2543249420282603
publisher,16029.0,19733.0,1.2310811653877347
questionanswer,2301.0,3403.0,1.478922207735767
schoolhomepage,21996.0,29255.0,1.3300145480996546
serviceprovider,44369.0,57422.0,1.2941918907345218
tutorial,45422.0,75047.0,1.652216987362952
universityhomepage,10985.0,12066.0,1.0984069185252616
